section,mask_id_xenium,mask_id_cz,match_iou,cell_id_xenium,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
7,9318,2114,0.4074074074074074,jdciionn-1,CS20230722_CLAS_01,01 IT-ET Glut,0.98,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.77,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.49
7,9321,2531,0.6226415094339622,jddfjclb-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.89,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.63,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,1.0
7,9325,2011,0.5287356321839081,jddlfefb-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.97,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.44
7,9326,2398,0.7526881720430108,jddmomek-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.92,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0
7,9327,2117,0.8181818181818182,jdeaaoap-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.82,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.67,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.91
7,9334,2006,0.4313725490196078,jdeoonch-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.65,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.66
7,9340,2054,0.4848484848484848,jdgbpmmb-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.86,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.84
7,9341,2057,0.5918367346938775,jdghpjgg-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.99,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.92
7,9342,2467,0.7349397590361446,jdgknokm-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.93,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0
7,9343,2466,0.5930232558139535,jdgnnadc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.95,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.93
7,9345,2392,0.6421052631578947,jdhhfpod-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.44,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.98
7,9346,2119,0.6854838709677419,jdhiighi-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0032,0032 L2/3 IT CTX Glut_4,0.59,CS20230722_CLUS_0118,0118 L2/3 IT CTX Glut_4,235,0.96
7,9347,2260,0.5454545454545454,jdhkmpfi-1,CS20230722_CLAS_06,06 CTX-CGE GABA,0.97,CS20230722_SUBC_046,046 Vip Gaba,0.96,CS20230722_SUPT_0177,0177 Vip Gaba_5,0.52,CS20230722_CLUS_0640,0640 Vip Gaba_5,628,0.82
7,9348,2702,0.7972972972972973,jdhljang-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.95,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.96
